date,distance
3/13/2017,1.96
3/14/2017,2.07
3/16/2017,2.05
3/20/2017,2.02
3/22/2017,3.63
3/25/2017,3.16
3/27/2017,3.41
3/29/2017,2.01
4/1/2017,2.11
4/3/2017,2.02
4/4/2017,3.41
4/9/2017,3.01
4/10/2017,3.04
4/12/2017,2.13
4/13/2017,3.28
4/17/2017,3.02
4/18/2017,4.39
4/20/2017,3.8
4/24/2017,4.45
4/26/2017,4.23
4/27/2017,3.21
5/1/2017,7.23
5/2/2017,3.04
5/4/2017,3.04
5/8/2017,2.77
5/9/2017,3.08
5/11/2017,2.89
5/15/2017,4.15
5/16/2017,3.33
5/18/2017,3.31
5/22/2017,3.31
5/23/2017,3.02
5/26/2017,4.15
5/30/2017,4.1
5/31/2017,3.04
6/1/2017,3.01
6/5/2017,3.28
6/6/2017,3.03
6/7/2017,3.38
6/8/2017,4
6/12/2017,3.05
6/13/2017,3.01
6/15/2017,3.57
6/16/2017,3.02
6/19/2017,3.31
6/20/2017,3.16
6/21/2017,3.01
6/22/2017,3.04
6/26/2017,4.21
6/27/2017,3.35
6/28/2017,3.36
6/29/2017,3.54
7/3/2017,4.17
7/5/2017,3.08
7/6/2017,3.14
7/7/2017,2.09
7/10/2017,3.59
7/11/2017,3.04
7/12/2017,3.02
7/13/2017,3.01
7/17/2017,3.07
7/18/2017,3.13
7/19/2017,3.2
7/20/2017,2.14
7/25/2017,3.03
7/26/2017,4.03
7/27/2017,3.06
7/28/2017,3.28
7/31/2017,3.17
8/1/2017,3.02
8/2/2017,3.02
8/3/2017,3.67
8/7/2017,3.62
8/8/2017,3.01
8/9/2017,3.02
8/11/2017,3.03
8/14/2017,3.28
8/15/2017,3.02
8/17/2017,3.01
8/18/2017,3.52
8/28/2017,3.03
8/29/2017,3.03
8/30/2017,4.19
8/31/2017,3.01
9/4/2017,2.02
9/5/2017,2.02
9/6/2017,3.03
9/7/2017,3.03
9/11/2017,3.45
9/12/2017,3.49
9/13/2017,3.01
9/14/2017,3.01
9/18/2017,3.05
9/19/2017,3.37
9/20/2017,3.38
9/21/2017,2.82
9/25/2017,3.39
9/26/2017,3.02
9/27/2017,4.01
9/28/2017,3.56
10/2/2017,3
10/3/2017,3.2
10/4/2017,3.03
10/5/2017,3.04
10/9/2017,3
10/10/2017,3.08
10/11/2017,3.21
10/12/2017,3.04
10/16/2017,3.01
10/17/2017,5.51
10/18/2017,3.24
10/19/2017,3
10/23/2017,3.35
10/24/2017,3.01
10/25/2017,3.51
10/26/2017,3.35
10/30/2017,3.03
10/31/2017,3.02
11/1/2017,3.35
11/2/2017,3.36
11/6/2017,4.02
11/7/2017,3.01
11/8/2017,3.08
11/9/2017,3.25
11/13/2017,5.54
11/14/2017,3.01
11/15/2017,3.22
11/16/2017,3.23
11/20/2017,2.96
11/21/2017,3.37
11/22/2017,3.02
11/25/2017,3.13
11/27/2017,3.02
11/28/2017,3.01
11/29/2017,3.01
11/30/2017,3.01
12/6/2017,2.87
12/7/2017,3.02
12/11/2017,3.07
12/12/2017,3.01
12/13/2017,3.2
12/14/2017,3.09
12/18/2017,3.77
12/19/2017,3.01
12/20/2017,3.08
12/21/2017,3.02
12/24/2017,3.01
12/26/2017,3.27
12/27/2017,3.3
12/28/2017,3.31
1/1/2018,3.05
1/2/2018,3.36
1/3/2018,3.39
1/4/2018,3.38
1/8/2018,3.04
1/9/2018,3.39
1/10/2018,3.38
1/11/2018,3.05
1/15/2018,3.66
1/16/2018,2.99
1/17/2018,3.47
1/18/2018,3.37
1/22/2018,4.79
1/23/2018,3.52
1/24/2018,4.02
1/25/2018,3.05
1/29/2018,4.04
1/30/2018,4.02
1/31/2018,3.06
2/1/2018,7.06
2/5/2018,4.24
2/6/2018,4.28
2/7/2018,3.01
2/8/2018,8.02
2/12/2018,3.02
2/13/2018,4.25
2/14/2018,4.08
2/15/2018,8.17
2/19/2018,9.02
2/20/2018,4.04
2/21/2018,5.04
2/22/2018,4.13
2/26/2018,9.03
2/27/2018,4.06
2/28/2018,6.08
3/1/2018,4.02
3/5/2018,10.01
3/6/2018,4.04
3/7/2018,5
3/8/2018,4.02
3/11/2018,11.15
3/13/2018,4.62
3/14/2018,5.3
3/15/2018,5.14
3/19/2018,12.35
3/20/2018,3
3/22/2018,5.55
3/23/2018,5.46
3/26/2018,9.02
3/27/2018,5.03
3/28/2018,6.23
3/29/2018,8.03
4/2/2018,4.21
4/3/2018,5.08
4/4/2018,4.04
4/8/2018,10.14
4/9/2018,4.32
4/11/2018,4.19
4/12/2018,3.41
4/16/2018,3.31
4/17/2018,5.08
4/18/2018,3.47
4/19/2018,4.03
4/24/2018,3.01
4/25/2018,4.12
4/26/2018,5.25
4/30/2018,4.12
5/1/2018,4.83
5/2/2018,4.32
5/3/2018,6.19
5/7/2018,4.01
5/8/2018,4.04
5/9/2018,5.15
5/10/2018,4.56
5/14/2018,4.17
5/15/2018,4.02
5/16/2018,5.42
5/17/2018,4.5
5/21/2018,4.76
5/22/2018,4.05
5/23/2018,5.17
5/24/2018,4.05
5/26/2018,4.41
5/29/2018,4.06
5/30/2018,4.15
5/31/2018,5.12
6/4/2018,4.05
6/5/2018,4.02
6/6/2018,4.33
6/8/2018,3.04
6/11/2018,5.09
6/12/2018,4.06
6/13/2018,4.83
6/14/2018,4.28
6/18/2018,6.57
6/19/2018,4.05
6/20/2018,4.07
6/21/2018,4.1
6/25/2018,5.65
6/26/2018,4.1
6/27/2018,4.1
6/28/2018,4.08
7/2/2018,3.3
7/3/2018,4.04
7/4/2018,3.69
7/5/2018,4.37
7/9/2018,6.01
7/10/2018,4.28
7/11/2018,4.05
7/12/2018,4.03
7/16/2018,4.13
7/17/2018,4.04
7/18/2018,6.06
7/19/2018,4.23
7/23/2018,3.36
7/24/2018,5.27
7/25/2018,7.04
7/26/2018,7.88
7/30/2018,3.04
7/31/2018,3.72
8/1/2018,5.36
8/2/2018,6.29
8/6/2018,8.12
8/8/2018,3.52
8/9/2018,4.32
8/10/2018,2.84
8/13/2018,7.05
8/14/2018,3.11
8/15/2018,4
8/16/2018,3.03
8/20/2018,6.05
8/21/2018,4.5
8/23/2018,5
8/25/2018,9.15
8/27/2018,5.17
8/28/2018,7.04
8/29/2018,3.08
8/30/2018,4.73
9/5/2018,6.03
9/6/2018,9.1
9/11/2018,3.05
9/12/2018,4.06
9/13/2018,5.09
9/17/2018,4.15
9/18/2018,6.14
9/20/2018,7.05
9/22/2018,12.19
9/24/2018,5.07
9/25/2018,3.12
9/26/2018,8.1
9/27/2018,5.24
10/1/2018,5.06
10/2/2018,3.02
10/3/2018,5.09
10/6/2018,13.06
10/9/2018,3.19
10/15/2018,4.21
10/16/2018,3.02
10/17/2018,5.11
10/18/2018,4.07
10/22/2018,5.79
10/23/2018,4.69
10/24/2018,4.09
10/25/2018,4.21
10/29/2018,5.23
10/30/2018,3.13
10/31/2018,4.2
11/1/2018,4.36
11/5/2018,4.15
11/6/2018,4.49
11/7/2018,4.26
11/8/2018,4.1
11/12/2018,4.87
11/13/2018,4.03
11/14/2018,4.05
11/15/2018,4.27
11/19/2018,4.56
11/20/2018,4.71
11/21/2018,7.08
11/22/2018,4.23
11/26/2018,5.3
11/27/2018,3.02
11/28/2018,4.95
11/29/2018,7.06
12/3/2018,4.23
12/4/2018,4.03
12/5/2018,4.3
12/6/2018,3.6
12/10/2018,4.45
12/11/2018,4.02
12/12/2018,4.34
12/13/2018,4.91
12/17/2018,4.1
12/18/2018,4.24
12/19/2018,4.96
12/20/2018,4.21
12/31/2018,3.28
1/2/2019,4.12
1/3/2019,4.32
1/7/2019,4.26
1/8/2019,4.87
1/9/2019,5.2
1/10/2019,4.14
1/14/2019,5
1/15/2019,3.67
1/16/2019,5.22
1/17/2019,5.08
1/21/2019,3.09
1/22/2019,8.13
1/23/2019,5.09
1/24/2019,5.09
1/27/2019,6.08
1/28/2019,5.1
1/29/2019,5.17
1/31/2019,4.06
2/3/2019,8.08
2/4/2019,5.15
2/5/2019,5.05
2/7/2019,4.19
2/9/2019,10.09
2/11/2019,5
2/12/2019,8.09
2/13/2019,5.16
2/14/2019,6.16
2/18/2019,6.09
2/19/2019,6.11
2/21/2019,4.04
