date,activity_id,type,route_name,distance,duration,average_pace,average_speed,calories_burned,climb,average_hr,friends_tagged,notes,gpx_file,date2
3/16/2020 7:18,89bccdf9-eca2-4a4f-9295-df7b48472977,Running,,3.07,27:26:00,8:57,6.71,271,194,129,,First coronavirus WFH run. Need to warm up better. Right neck muscle going through upper back felt stiff 😑,2020-03-16-071809.gpx,3/16/2020
3/17/2020 7:24,e64ad06d-a420-4130-bb71-c6c373cd6ad1,Running,,3.14,27:36:00,8:47,6.83,264,110,135,,,2020-03-17-072411.gpx,3/17/2020
3/18/2020 7:10,a2b2f617-9026-4fc8-87b5-09d414fafa52,Running,,3.5,41:08:00,11:44,5.11,297,232,109,,Exploring a new running route with Jenny!,2020-03-18-071056.gpx,3/18/2020
3/19/2020 7:26,092dbf77-be63-43f8-b076-86f1f3f5124b,Running,,3.07,28:07:00,9:10,6.54,279,214,140,,,2020-03-19-072658.gpx,3/19/2020
3/23/2020 11:14,d1eb59d2-74ab-4c45-a785-0f914f73e663,Running,,3.01,28:19:00,9:24,6.38,317.0276249,0,138,,Actually an outdoor run down Upshur up 16th,,3/23/2020
3/24/2020 7:26,5bc26f3d-e867-4e08-9290-f28f110e4beb,Running,,3.57,34:56:00,9:47,6.13,304,181,121,,Briefly walked with Jenny in Park View. Really need to figure out how to properly warm up,2020-03-24-072610.gpx,3/24/2020
3/25/2020 7:20,f4ae61b4-a565-4903-96dc-0e6786aa824f,Running,,2.83,26:06:00,9:13,6.51,265,165,151,,First time I felt good and warmed up for these quarantine morning runs. And it shows in my faster pace. I did like 3 of these: https://www.runnersworld.com/training/a20865088/pre-run-warmup/,2020-03-25-072008.gpx,3/25/2020
3/26/2020 7:20,afc0ee4f-9ace-41dc-bfaf-0425330738a6,Running,,3.13,25:23:00,8:07,7.39,266,204,137,,,2020-03-26-072047.gpx,3/26/2020
3/30/2020 7:18,5b5f2416-bb0b-4757-bb71-52421bcccb10,Running,,3.05,28:48:00,9:26,6.36,286,305,130,,Terrible run. Need to warm up mlre,2020-03-30-071828.gpx,3/30/2020
3/31/2020 7:17,1a31c44a-5cba-4597-ad1f-bf416bff2644,Running,,3.05,26:47:00,8:46,6.84,266,201,134,,Better today by making sure I started slow and steady.,2020-03-31-071706.gpx,3/31/2020
4/1/2020 7:17,c6abfcf1-ff15-4c09-96f1-e3895ecfd68b,Running,,3.09,26:26:00,8:33,7.02,272,187,145,,Better run,2020-04-01-071707.gpx,4/1/2020
4/2/2020 7:28,ee5f2c75-efe2-4de9-a63e-71c6755ef7a5,Running,,3.18,26:50:00,8:26,7.11,278,169,150,,,2020-04-02-072823.gpx,4/2/2020
4/6/2020 7:18,ef52d822-30b3-4098-bacb-1a06873a0480,Running,,3.09,27:29:00,8:54,6.74,277,192,143,,,2020-04-06-071829.gpx,4/6/2020
4/7/2020 7:22,38dd97a3-ed2b-4fa2-9ccb-8af3038efac0,Running,,3.1,26:55:00,8:41,6.91,275,166,152,,,2020-04-07-072258.gpx,4/7/2020
4/8/2020 7:16,6aa3b541-d04b-4a3f-a148-73dcd96455da,Running,,3.16,28:34:00,9:03,6.63,291,186,149,,,2020-04-08-071648.gpx,4/8/2020
4/9/2020 7:27,f5dde843-8e6e-49a3-aafe-17b16d856e42,Running,,3.08,27:12:00,8:50,6.79,281,197,157,,,2020-04-09-072725.gpx,4/9/2020
4/13/2020 7:26,986c6086-1cc6-46d8-856f-9ed627346873,Running,,3.07,27:11:00,8:50,6.79,273,184,138,,Rainy run,2020-04-13-072654.gpx,4/13/2020
4/14/2020 7:23,d6be421f-3064-4799-968a-8bee3e053866,Running,,2.99,27:10:00,9:05,6.6,289,257,150,,Hill repeats on Upshur between 8th and 7th,2020-04-14-072351.gpx,4/14/2020
4/15/2020 7:23,0abac1be-9e97-4642-92c8-ada3b062a71c,Running,,3.19,29:00:00,9:06,6.6,292,220,159,,Just not the day. 38 degrees And huge uphill right at the start,2020-04-15-072327.gpx,4/15/2020
4/16/2020 7:48,04f837f4-8543-4008-b5fd-dba175115b34,Running,,3.17,27:14:00,8:35,6.99,288,199,148,,Still cold for April but was able to wear shorts at least!,2020-04-16-074854.gpx,4/16/2020
4/20/2020 7:29,953a7eda-8ea5-4686-ac74-ecd8caaefa0c,Running,,3.51,33:16:00,9:29,6.32,325,196,150,,Felt heavy,2020-04-20-072957.gpx,4/20/2020
4/21/2020 7:25,4c88541a-66e6-4549-a589-7433c6d7f277,Running,,3.1,26:21:00,8:29,7.07,283,188,140,,,2020-04-21-072504.gpx,4/21/2020
4/22/2020 7:26,77b42e1b-e169-44eb-b7ef-447f9cd94bac,Running,,3.04,27:03:00,8:53,6.75,273,180,152,,,2020-04-22-072619.gpx,4/22/2020
4/23/2020 7:32,e4b0a1bc-7e39-45aa-a7e2-45b7f5443ff1,Running,,3.12,27:01:00,8:39,6.94,277,190,155,,,2020-04-23-073234.gpx,4/23/2020
4/27/2020 7:25,7d9fb2f5-a530-478a-897e-2c8263639cd3,Running,,1.55,14:33,9:21,6.41,143,122,134,,Accidentally ended run at halfway point.,2020-04-27-072540.gpx,4/27/2020
4/27/2020 7:44,57cf06c4-9822-45a3-a6af-d74c50950058,Running,,1.53,14:14,9:17,6.46,133,68,129,,Part 2 of same run,2020-04-27-074428.gpx,4/27/2020
4/28/2020 7:26,d6e7348d-8d4f-4ae1-a497-647e471b2110,Running,,3.1,27:32:00,8:53,6.75,275,192,147,,,2020-04-28-072649.gpx,4/28/2020
4/29/2020 7:25,bd6d6a26-a95f-4431-9d23-5a67117f3ee2,Running,,3.32,32:46:00,9:52,6.08,330,301,134,,Slow pace but run is feeling better,2020-04-29-072511.gpx,4/29/2020
4/30/2020 7:26,2151214d-02f4-4d84-aaa5-039881769ce9,Running,,3.09,27:01:00,8:44,6.87,272,199,142,,,2020-04-30-072657.gpx,4/30/2020
5/4/2020 7:14,ab59246c-5bfb-442b-bdc5-92e73c2595f2,Running,,3.12,29:17:00,9:23,6.4,297,195,143,,Felt heavy and gasping for air,2020-05-04-071446.gpx,5/4/2020
5/5/2020 7:17,f9bb3358-0f99-4d2a-b644-a13cb5c9d2f3,Running,,3.12,28:24:00,9:06,6.59,331,192,133,,Felt better than yesterday but still slow,2020-05-05-071720.gpx,5/5/2020
5/6/2020 7:24,c24b0cf6-471b-443e-90b0-6043c0b2daea,Running,,3.09,28:35:00,9:16,6.48,277,147,146,,,2020-05-06-072420.gpx,5/6/2020
5/7/2020 7:22,0be87920-3db1-4a30-a251-6d34f959f035,Running,,3.13,29:01:00,9:16,6.47,293,234,144,,,2020-05-07-072252.gpx,5/7/2020
5/11/2020 7:24,fa12dd05-c62d-4b8b-8581-71f529870809,Running,,3.09,28:54:00,9:21,6.42,277,193,137,,,2020-05-11-072459.gpx,5/11/2020
5/12/2020 7:27,93b8225e-ea1b-41c9-a159-7e575c16d6d9,Running,,3.12,29:00:00,9:18,6.46,283,179,152,,,2020-05-12-072758.gpx,5/12/2020
5/13/2020 7:21,2e8d39bf-7c43-437a-bd17-db5291788e02,Running,,3.07,27:39:00,9:00,6.66,281,191,147,,,2020-05-13-072122.gpx,5/13/2020
5/14/2020 7:27,0394ba99-1dbf-4926-8603-8c75ce49b2ef,Running,,3.1,27:43:00,8:57,6.7,279,176,147,,,2020-05-14-072740.gpx,5/14/2020
5/18/2020 7:28,54e4c3e9-f1da-4940-8733-34c1a8eca870,Running,,3.08,27:16:00,8:50,6.79,282,192,148,,This was a struggle breathing wise probably because of the extra couple of pounds I have gained but my legs feel fine? Maybe it’s the compression socks or the improved running form?,2020-05-18-072830.gpx,5/18/2020
5/19/2020 7:28,01907fc8-161f-4cbb-bbff-15aeb50dbe8c,Running,,3.22,27:28:00,8:32,7.03,284,0,155,,,,5/19/2020
5/20/2020 7:23,8de52283-fff8-429c-b16c-37e6357758e0,Running,,3.24,28:37:00,8:49,6.8,289,196,142,,,2020-05-20-072306.gpx,5/20/2020
5/21/2020 7:26,4574916d-fb39-4990-9d06-abe53879e06a,Running,,3.1,25:54:00,8:21,7.19,283,266,151,,Pace improving and breathing too,2020-05-21-072647.gpx,5/21/2020
5/25/2020 8:28,06a042dd-d0f8-4bf8-9320-fd1b5950487e,Running,,3.03,28:03:00,9:15,6.49,277,185,129,,,2020-05-25-082833.gpx,5/25/2020
5/26/2020 7:20,b20467d2-42cf-49be-9b8c-1082b5e0149c,Running,,3.17,27:29:00,8:40,6.93,277,199,149,,,2020-05-26-072056.gpx,5/26/2020
5/27/2020 7:25,018cabbe-7227-47ed-a840-20ea1bed6f77,Running,,3.06,27:55:00,9:08,6.57,278,304,145,,,2020-05-27-072557.gpx,5/27/2020
5/28/2020 7:26,3987cd93-2d63-41e1-85c9-f97d29aa52d6,Running,,3.25,28:19:00,8:43,6.89,294,271,150,,,2020-05-28-072625.gpx,5/28/2020
6/1/2020 7:28,3ac1eab7-1ea4-4d42-940f-c43efc2fc79c,Running,,3.4,30:11:00,8:53,6.76,300,206,139,,,2020-06-01-072803.gpx,6/1/2020
6/2/2020 7:22,03d2c851-7585-45f7-93e9-963bbca02441,Running,,3.1,25:53:00,8:20,7.2,279,308,149,,,2020-06-02-072238.gpx,6/2/2020
6/3/2020 7:29,4b65a738-7871-44d9-8cfe-8587ec48c681,Running,,3.13,28:19:00,9:03,6.63,288,267,146,,,2020-06-03-072951.gpx,6/3/2020
6/4/2020 7:29,1e13774a-0b3d-420a-aac5-c59e628fbcfc,Running,,3.02,26:23:00,8:44,6.87,277,185,152,,,2020-06-04-072919.gpx,6/4/2020
6/8/2020 7:26,36c112ec-098c-463d-bb16-a697ac88301b,Running,,3.12,28:33:00,9:09,6.56,293,205,145,,,2020-06-08-072624.gpx,6/8/2020
6/9/2020 7:28,1f83387b-748d-484b-b01f-d424cefcb432,Running,,3.73,31:26:00,8:25,7.12,392,203,159,,Track workout!,2020-06-09-072807.gpx,6/9/2020
6/10/2020 7:30,69e47f8c-e1ba-4b65-8796-a7ceb8ac6e80,Running,,3.82,31:50:00,8:21,7.19,310,207,154,,Track workout again,2020-06-10-073005.gpx,6/10/2020
6/11/2020 7:23,5309790b-c3d7-4e58-9e9b-b81d898b5c8f,Running,,3.07,27:38:00,9:00,6.66,280,306,144,,Birthday run. Humid AF and legs felt heavy,2020-06-11-072300.gpx,6/11/2020
6/22/2020 7:22,fb6c0698-4c1e-4848-9550-7c326d9b68ef,Running,,3.07,28:46:00,9:22,6.41,284,191,146,,Took a week off running,2020-06-22-072219.gpx,6/22/2020
6/23/2020 7:21,d506840f-46da-4b26-818e-1692ba9a436f,Running,,3.15,27:22:00,8:41,6.92,263,155,164,,Got way too optimistic about track intervals. Almost died,2020-06-23-072101.gpx,6/23/2020
6/24/2020 7:08,65afe41d-29eb-45af-8ded-3b02700fb40a,Running,,3.03,27:30:00,9:04,6.62,274,254,157,,I feel like my legs and lungs are coming back. Although strangely only after running up some hills,2020-06-24-070826.gpx,6/24/2020
6/25/2020 7:21,8db1a8d3-6fea-4fb9-b8a8-d0263eff6d1e,Running,,3.18,28:37:00,9:00,6.67,287,218,153,,,2020-06-25-072156.gpx,6/25/2020
6/29/2020 7:12,35eef9de-766c-4653-a552-b9f2a14187f0,Running,,3.06,28:32:00,9:19,6.44,286,200,136,,Hamstrings felt sore from yoga yesterday. Also was trying on a new mask,2020-06-29-071204.gpx,6/29/2020
6/30/2020 7:20,1b9e32a8-49e9-4642-aebf-6b43ac29acbd,Running,,3,26:41:00,8:54,6.74,278,222,147,,,2020-06-30-072020.gpx,6/30/2020
7/1/2020 7:10,f5149129-8a22-43ce-93da-26d70622699c,Running,,2.93,27:00:00,9:13,6.51,280,189,152,,,2020-07-01-071012.gpx,7/1/2020
7/2/2020 7:25,314844a0-8c82-4734-b6a0-468f5f9bb683,Running,,3.52,28:25:00,8:04,7.44,273,152,158,,,2020-07-02-072542.gpx,7/2/2020
7/6/2020 7:22,2dbb5ad5-5fe4-4643-9d22-cf89b23151be,Running,,3.15,28:13:00,8:58,6.7,276,189,142,,Paying for my 4th of July weekend sins,2020-07-06-072236.gpx,7/6/2020
7/7/2020 7:18,db1121e3-34db-4e8c-b53d-75a83338ea2d,Running,,3.31,29:53:00,9:02,6.64,291,202,148,,,2020-07-07-071808.gpx,7/7/2020
7/8/2020 7:15,9f227649-f338-493d-8cee-89bddb4a4d62,Running,,3.32,29:05:00,8:45,6.86,292,0,157,,,,7/8/2020
7/9/2020 7:23,31fe9deb-d1ab-41f3-bb41-99ee658224cb,Running,,3.5,30:18:00,8:40,6.92,276,168,154,,Welp this sprint straights and jog the curves x 6 intervals was painful,2020-07-09-072321.gpx,7/9/2020
7/13/2020 7:14,52e018ac-f2e2-4056-8aac-2cc1672c6a10,Running,,3.15,27:54:00,8:52,6.76,264,202,141,,"First day of “fasting” (only drinking coffee, no eating toast or anything else) before running. Feels great!",2020-07-13-071441.gpx,7/13/2020
7/14/2020 7:15,7b7932e8-85fe-463a-84cb-2522cb9c0b1c,Running,,3.09,26:12:00,8:29,7.07,271,250,155,,,2020-07-14-071540.gpx,7/14/2020
7/15/2020 7:19,c1704711-29a9-4534-9f35-4a2e5d92f05a,Running,,3.16,28:36:00,9:03,6.63,280,192,151,,,2020-07-15-071953.gpx,7/15/2020
7/16/2020 7:21,7388c1df-e2a5-4776-a451-099055381906,Running,,3.59,30:38:00,8:33,7.02,288,172,163,,"Mile warm up, 6 x 200m fast-200m recover intervals, mile cool down",2020-07-16-072132.gpx,7/16/2020
7/20/2020 7:13,219d767c-e5df-409e-86a4-de96fe37ff2f,Running,,3.16,27:20:00,8:38,6.94,269,212,121,,,2020-07-20-071326.gpx,7/20/2020
7/21/2020 7:22,d159861a-668c-4a4a-bfbd-e7cbf11bd70b,Running,,3.16,26:28:00,8:22,7.16,273,197,141,,,2020-07-21-072250.gpx,7/21/2020
7/22/2020 7:32,710d1658-6c6f-4093-9cad-be6090db6203,Running,,3.09,26:46:00,8:40,6.93,330,246,158,,,2020-07-22-073224.gpx,7/22/2020
7/23/2020 7:13,5c999ea1-021b-4420-91ab-18bb1fecdd97,Running,,3.45,29:08:00,8:26,7.12,272,163,159,,6 x 200 interval,2020-07-23-071358.gpx,7/23/2020
8/3/2020 7:12,89770ca2-2ac5-4cfb-b5f5-5c74fd6c70f6,Running,,3.4,30:28:00,8:58,6.7,301,228,136,,Back at it after a week long moving homes break,2020-08-03-071215.gpx,8/3/2020
8/5/2020 7:11,009f9d03-4b9e-40d2-94ea-b149aaa26200,Running,,3.24,27:08:00,8:23,7.16,281,233,154,,,2020-08-05-071144.gpx,8/5/2020
8/6/2020 7:12,42cb6e71-7b78-4698-8be6-148241783944,Running,,3.05,27:17:00,8:56,6.71,271,0,158,,,,8/6/2020
8/10/2020 7:06,6b416d00-5340-4837-b8c2-5e269fc7df8e,Running,,3.26,29:12:00,8:58,6.69,294,236,150,,,2020-08-10-070603.gpx,8/10/2020
8/11/2020 7:00,a1d29ac6-c2f3-4e1a-9354-0e4f3541766d,Running,,3.04,26:02:00,8:33,7.01,275,213,161,,,2020-08-11-070042.gpx,8/11/2020
8/12/2020 7:14,b34ac224-4bd5-4d7a-bbbe-25bca1f59e51,Running,,3.07,26:48:00,8:43,6.88,277,238,157,,,2020-08-12-071436.gpx,8/12/2020
8/13/2020 7:09,4c16144d-4b84-4dea-aab2-6d7328d37bcb,Running,,3.27,27:27:00,8:24,7.14,266,166,146,,,2020-08-13-070959.gpx,8/13/2020
8/17/2020 7:09,a0715ce2-daa7-4a2f-88b5-19db3cc93642,Running,,3.5,30:48:00,8:48,6.82,284,186,142,,Really need to sleep more,2020-08-17-070925.gpx,8/17/2020
8/18/2020 7:09,e269d91a-a17b-4d2e-9b3d-a8add69626e6,Running,,3.1,26:54:00,8:41,6.91,272,211,154,,,2020-08-18-070910.gpx,8/18/2020
8/19/2020 7:16,06725117-9b03-4cb3-ae82-c28daa318959,Running,,3.17,27:35:00,8:43,6.89,275,209,137,,,2020-08-19-071638.gpx,8/19/2020
8/20/2020 7:17,c64c7e82-bc6c-441c-9ae6-661279d9cc8e,Running,,3.59,29:48:00,8:18,7.22,294,177,158,,,2020-08-20-071743.gpx,8/20/2020
8/24/2020 7:03,675ff01f-1aa3-4059-81da-a59794e2caed,Running,,3.2,28:15:00,8:49,6.8,278,217,141,,Back go square 1 I guess,2020-08-24-070301.gpx,8/24/2020
8/25/2020 7:13,d640fa39-d956-4679-82cf-1034a7b8282a,Running,,3.27,26:02:00,7:57,7.54,264,157,151,,"2 lap warm up, 100 run 300 slower, 200-200, 300-100, 400-400, 2 lap cool down with 200 m kick at end",2020-08-25-071333.gpx,8/25/2020
8/26/2020 7:18,658a223d-6630-45b2-ac20-c436e15c84bf,Running,,3.04,27:12:00,8:57,6.71,325,182,,,,2020-08-26-071846.gpx,8/26/2020
8/27/2020 7:17,4eff24a9-1dda-4e2d-9305-0465e389f8ff,Running,,3.57,31:00:00,8:41,6.9,371,142,,,,2020-08-27-071732.gpx,8/27/2020
8/31/2020 7:19,b1ce136b-1586-4a7a-b7d6-fcbae576e96c,Running,,3.16,29:26:00,9:19,6.44,333,163,,,,2020-08-31-071940.gpx,8/31/2020
9/1/2020 7:13,1662f1fa-3776-4989-8716-fc92ec4f4c17,Running,,3.21,28:15:00,8:49,6.81,334,119,,,,2020-09-01-071330.gpx,9/1/2020
9/2/2020 7:20,df1a236d-3e71-4979-b5cd-a63517405033,Running,,3.03,27:14:00,9:00,6.67,320,167,,,,2020-09-02-072042.gpx,9/2/2020
9/3/2020 6:54,601afbf5-b2e4-40ba-8e57-99c5d3e207c1,Running,,3.54,31:07:00,8:47,6.83,365,131,,,,2020-09-03-065454.gpx,9/3/2020
9/7/2020 7:39,051f02e9-928f-44be-8d30-1013dc01ea98,Running,,3.17,32:59:00,10:25,5.76,329,162,,,Trying 5k training program. Felt heavy legs,2020-09-07-073905.gpx,9/7/2020
9/8/2020 7:24,1b137c06-ba9b-4e9d-9026-31d6640bd5b1,Running,,3.57,33:39:00,9:25,6.37,371,155,,,,2020-09-08-072414.gpx,9/8/2020
9/9/2020 7:24,e6a3ff04-d146-4a4a-af06-5f3f837be71a,Running,,3.01,26:46:00,8:54,6.74,316,159,155,,,2020-09-09-072419.gpx,9/9/2020
9/10/2020 7:25,4b3d79fd-6f91-42dd-9f96-f84d4a5c7343,Running,,3.51,31:15:00,8:55,6.73,367,145,156,,,2020-09-10-072542.gpx,9/10/2020
9/14/2020 7:22,bdb3ccff-f2fe-44e7-ba19-2b1a70016390,Running,,3.16,27:45:00,8:48,6.82,335,162,151,,Started out this run a little angry but otherwise felt good,2020-09-14-072242.gpx,9/14/2020
9/15/2020 7:26,57c3aa4c-5f6c-4361-ac46-91a9f02fb3d8,Running,,3,26:12:00,8:43,6.88,321,145,154,,,2020-09-15-072646.gpx,9/15/2020
9/16/2020 7:28,3200d01d-ccc4-4f0b-bd5b-ee8f9781186e,Running,,3.62,30:55:00,8:33,7.02,385,167,154,,,2020-09-16-072858.gpx,9/16/2020
9/17/2020 7:30,965c1917-5cd0-4c6f-80bd-07a27939cac8,Running,,4.21,35:49:00,8:30,7.06,443,147,163,,,2020-09-17-073038.gpx,9/17/2020
9/21/2020 7:30,e6ec8e36-bea8-4e41-a121-02cf190540a2,Running,,3.51,30:31:00,8:41,6.91,362,164,153,,,2020-09-21-073017.gpx,9/21/2020
9/22/2020 7:24,9b52b615-4573-4e22-94c5-1f644e3a3d13,Running,,4.9,41:41:00,8:31,7.05,500,176,167,,,2020-09-22-072441.gpx,9/22/2020
9/23/2020 7:31,93c3bbd5-5f4e-4c1e-8e8c-15f821957ef3,Running,,3.01,26:51:00,8:55,6.72,313,169,145,,,2020-09-23-073125.gpx,9/23/2020
9/24/2020 7:33,66fb4844-7bb5-44f2-b720-99e93c261b4e,Running,,3.25,29:21:00,9:03,6.64,338,179,145,,,2020-09-24-073316.gpx,9/24/2020
9/28/2020 4:40,92afd256-30bb-4f7a-8263-cc50a3602be8,Running,,3.66,31:32:00,8:37,6.97,382,179,157,,,2020-09-28-044005.gpx,9/28/2020
9/29/2020 7:33,98e8a8ad-95b5-434b-98f7-3cc8d9385075,Running,,3.81,31:48:00,8:22,7.18,388,146,159,,,2020-09-29-073348.gpx,9/29/2020
9/30/2020 7:38,fdfae1f6-0874-401f-aa81-ac8624b84a9d,Running,,5.01,42:23:00,8:28,7.08,517,219,162,,This is the farthest I have run since quarantine. And amazing I was able to hold that pace,2020-09-30-073804.gpx,9/30/2020
10/1/2020 7:35,60da34d2-10c8-4c41-96ca-81e0d23babe9,Running,,3.21,27:56:00,8:43,6.89,336,169,161,,Legs feel heavy probably from 5 miler yesterday!,2020-10-01-073517.gpx,10/1/2020
10/5/2020 8:23,c3731e39-ec76-4caa-b5ea-4413b87b360d,Running,,3.43,32:30:00,9:29,6.33,379,372,160,,So hilly :/,2020-10-05-082300.gpx,10/5/2020
10/6/2020 8:32,d757512e-a9ac-4933-bebd-d47b82302fd0,Running,,3.16,31:41:00,10:01,5.99,341,391,148,,,2020-10-06-083215.gpx,10/6/2020
10/7/2020 8:17,6c891503-0f2f-4ed9-b483-aee35a475b50,Running,,2.74,24:53:00,9:05,6.6,299,307,171,,Last run in PA. Not going to miss these hills,2020-10-07-081755.gpx,10/7/2020
10/12/2020 7:49,499558ac-6992-462e-9d4f-bac2afc07ca2,Running,,3.04,26:46:00,8:49,6.81,318,171,155,,,2020-10-12-074905.gpx,10/12/2020
10/13/2020 7:23,7423c7b7-11c0-4fe8-aa2a-21a6a334f935,Running,,3.65,31:39:00,8:41,6.91,380,193,166,,,2020-10-13-072330.gpx,10/13/2020
